Alabama,"['54', '58', '67', '74', '82', '88', '91', '91', '85', '75', '65', '56']"
Alaska,"['23', '27', '34', '44', '56', '63', '65', '64', '55', '40', '28', '25']"
Arizona,"['67', '71', '77', '85', '95', '104', '106', '104', '100', '89', '76', '66']"
Arkansas,"['51', '55', '64', '73', '81', '89', '92', '93', '86', '75', '63', '52']"
California,"['54', '60', '65', '71', '80', '87', '92', '91', '87', '78', '64', '54']"
Colorado,"['45', '46', '54', '61', '72', '82', '90', '88', '79', '66', '52', '45']"
Connecticut,"['37', '40', '47', '58', '68', '77', '82', '81', '74', '63', '53', '42']"
Delaware,"['43', '47', '55', '66', '75', '83', '87', '85', '79', '69', '58', '47']"
District Of Columbia,"['42', '44', '53', '64', '75', '83', '87', '84', '78', '67', '55', '45']"
Florida,"['64', '67', '74', '80', '87', '91', '92', '92', '88', '81', '73', '65']"
Georgia,"['52', '57', '64', '72', '81', '86', '90', '88', '82', '73', '64', '54']"
Hawaii,"['80', '80', '81', '83', '85', '87', '88', '89', '89', '87', '84', '81']"
Idaho,"['38', '45', '55', '62', '72', '81', '91', '90', '79', '65', '48', '38']"
Illinois,"['32', '36', '46', '59', '70', '81', '84', '82', '75', '63', '48', '36']"
Indiana,"['35', '40', '51', '63', '73', '82', '85', '83', '77', '65', '52', '39']"
Iowa,"['31', '36', '49', '62', '72', '82', '86', '84', '76', '63', '48', '34']"
Kansas,"['40', '45', '56', '67', '76', '85', '89', '89', '80', '68', '55', '42']"
Kentucky,"['40', '45', '55', '66', '75', '83', '87', '86', '79', '68', '55', '44']"
Louisiana,"['62', '65', '72', '78', '85', '89', '91', '91', '87', '80', '72', '64']"
Maine,"['28', '32', '40', '53', '65', '74', '79', '78', '70', '57', '45', '33']"
Maryland,"['42', '46', '54', '65', '75', '85', '89', '87', '80', '68', '58', '46']"
Massachusetts,"['36', '39', '45', '56', '66', '76', '81', '80', '72', '61', '51', '41']"
Michigan,"['30', '33', '44', '58', '69', '78', '82', '80', '73', '60', '47', '34']"
Minnesota,"['26', '31', '43', '58', '71', '80', '85', '82', '73', '59', '42', '29']"
Mississippi,"['56', '60', '69', '76', '83', '89', '92', '92', '87', '77', '67', '58']"
Missouri,"['40', '45', '56', '67', '75', '83', '88', '88', '80', '69', '56', '43']"
Montana,"['33', '39', '48', '58', '67', '76', '86', '85', '73', '59', '43', '32']"
Nebraska,"['32', '37', '50', '63', '73', '84', '88', '86', '77', '64', '48', '36']"
Nevada,"['45', '50', '57', '63', '71', '81', '90', '88', '80', '68', '54', '45']"
New Hampshire,"['31', '35', '44', '57', '69', '77', '82', '81', '73', '60', '48', '36']"
New Jersey,"['39', '42', '51', '62', '72', '82', '86', '84', '77', '65', '55', '44']"
New Mexico,"['44', '48', '56', '65', '74', '83', '86', '83', '78', '67', '53', '43']"
New York,"['39', '42', '50', '60', '71', '79', '85', '83', '76', '65', '54', '44']"
North Carolina,"['51', '55', '63', '72', '79', '86', '89', '87', '81', '72', '62', '53']"
North Dakota,"['23', '28', '40', '57', '68', '77', '85', '83', '72', '58', '40', '26']"
Ohio,"['36', '40', '52', '63', '73', '82', '85', '84', '77', '65', '52', '41']"
Oklahoma,"['50', '55', '63', '72', '80', '88', '94', '93', '85', '73', '62', '51']"
Oregon,"['48', '52', '56', '61', '68', '74', '82', '82', '77', '64', '53', '46']"
Pennsylvania,"['40', '44', '53', '64', '74', '83', '87', '85', '78', '67', '56', '45']"
Puerto Rico,"['82', '83', '83', '85', '86', '88', '87', '88', '88', '87', '85', '83']"
Rhode Island,"['37', '40', '48', '59', '68', '78', '83', '81', '74', '63', '53', '42']"
South Carolina,"['59', '63', '70', '76', '83', '88', '91', '89', '85', '77', '70', '62']"
South Dakota,"['22', '27', '39', '57', '69', '78', '84', '82', '72', '58', '39', '25']"
Tennessee,"['50', '55', '64', '73', '81', '89', '92', '91', '85', '74', '63', '52']"
Texas,"['62', '65', '72', '80', '87', '92', '96', '97', '91', '82', '71', '63']"
Utah,"['38', '44', '53', '61', '71', '82', '90', '89', '78', '65', '50', '40']"
Vermont,"['27', '31', '40', '55', '67', '76', '81', '79', '70', '57', '46', '33']"
Virginia,"['47', '51', '60', '70', '78', '86', '90', '88', '81', '71', '61', '51']"
Washington,"['42', '44', '53', '64', '75', '83', '87', '84', '78', '67', '55', '45']"
West Virginia,"['42', '47', '56', '68', '75', '82', '85', '84', '78', '68', '57', '46']"
Wisconsin,"['29', '33', '42', '54', '65', '75', '80', '78', '71', '59', '46', '33']"
Wyoming,"['40', '40', '47', '55', '65', '75', '83', '81', '72', '59', '47', '38']"
